Fiscal Year,Agency Name,Payee Name,Payee Zip,Amount,Purpose of Payment (Baltimore County only),MBE
2020,Anne Arundel Co. Public Schools,ALLIANCE TECHNOLOGY GROUP LLC,21076,452000.28,,
2020,Anne Arundel Co. Public Schools,"ALUMINUM ATHLETIC EQUIPMENT CO, INC",19468,29307.0,,
2020,Anne Arundel Co. Public Schools,AMER FED OF ST CO MUNICIP EMPL,21230,187342.07,,
2020,Anne Arundel Co. Public Schools,AMERICAN COMBUSTION INDUSTRIES,20769,36921.0,,
2020,Anne Arundel Co. Public Schools,AMERICAN ENERGY RESTAURANT EQ,22153,178641.04,,
2020,Anne Arundel Co. Public Schools,AMERIGAS PROPANE,21042-3611,27736.8,,
2020,Anne Arundel Co. Public Schools,AMSCO,20872,40810.78,,
2020,Anne Arundel Co. Public Schools,AMTEK CO,21012-1887,50445.0,,
2020,Anne Arundel Co. Public Schools,ANNAPOLIS BUS CO INC,21403,6782552.51,,
2020,Anne Arundel Co. Public Schools,ANNAPOLIS SR HIGH SCHOOL,21401,35823.82,,
2020,Anne Arundel Co. Public Schools,ANNE ARUNDEL COMMUNITY COLLEGE,21012,337481.34,,
2020,Anne Arundel Co. Public Schools,"ANNE ARUNDEL COUNTY, MD ACCOUNTING & CONTROL",21404,2975283.89,,
2020,Anne Arundel Co. Public Schools,AON CONSULTING INC,20036,475734.91,,
2020,Anne Arundel Co. Public Schools,APEX LEARNING,98161,36550.0,,
2020,Anne Arundel Co. Public Schools,APPLE COMPUTER INC,78727,269097.98,,
2020,Anne Arundel Co. Public Schools,APPLE EDUCATION,30384-1877,46744.27,,
2020,Anne Arundel Co. Public Schools,ARROW CENTER,77365,498950.77,,
2020,Anne Arundel Co. Public Schools,ARUNDEL GAS CO,21037,25180.51,,
2020,Anne Arundel Co. Public Schools,ASCD,21297-8431,37974.47,,
2020,Anne Arundel Co. Public Schools,ASSO OF EDUC LEADERS INC,21012,179658.34,,
2020,Anne Arundel Co. Public Schools,ASSOCIATED CABS INC,60693-0322,257342.18,,
2020,Anne Arundel Co. Public Schools,ASSOCIATED CATHOLIC CHARITIES,21093,235371.18,,
2020,Anne Arundel Co. Public Schools,ASTRO TURF CORP,30721,2975977.5,,
2020,Anne Arundel Co. Public Schools,AT & T,21283-0017,58536.52,,
2020,Anne Arundel Co. Public Schools,ATC Corp.,21222,464325.0,,
2020,Anne Arundel Co. Public Schools,ATLASCOPCO CONSTRUCTION CO,20877,1874084.28,,
2020,Anne Arundel Co. Public Schools,AUDIO VISUAL INNOVATIONS INC,21045,839369.7,,
2020,Anne Arundel Co. Public Schools,AUTUMN CONTRACTING INC,22151,3053886.56,,
2020,Anne Arundel Co. Public Schools,AVAYA,,601548.1,,
2020,Anne Arundel Co. Public Schools,AVID CENTER,92123,246352.2,,
2020,Anne Arundel Co. Public Schools,Ad Astra Inc,20910-3713,87916.63,,
2020,Anne Arundel Co. Public Schools,"Air Tech Refrigeration & Mechanical Contractors, Inc.",21220,868963.67,,
2020,Anne Arundel Co. Public Schools,Aireco Supply Inc  DBA M&M CONTROLS INC,21093,105784.42,,
2020,Anne Arundel Co. Public Schools,Allied Instructional Services,23005,65061.98,,
2020,Anne Arundel Co. Public Schools,Allstate Contractor Inc,20121,1200195.34,,
2020,Anne Arundel Co. Public Schools,"Amber Enterprises, Inc",20740,359907.5,,
2020,Anne Arundel Co. Public Schools,American Air Filter Company Inc,21224,130671.2,,
2020,Anne Arundel Co. Public Schools,American Truck & Bus Inc.,21401-7074,76785.98,,
2020,Anne Arundel Co. Public Schools,Angela Muse,21035,37000.0,,
2020,Anne Arundel Co. Public Schools,"Aon Hewitt Investment Consulting, Inc.",60694-9500,166249.5,,
2020,Anne Arundel Co. Public Schools,Atlas Container Corp.,21144,37132.62,,
2020,Anne Arundel Co. Public Schools,B W WILSON PAPER CO INC,21229,34308.03,,
2020,Anne Arundel Co. Public Schools,B&H Photo & Electronics Corp,10001,31776.71,,
2020,Anne Arundel Co. Public Schools,BALDWIN MECHANICAL CONTRACTORS,21237,737972.7,,
2020,Anne Arundel Co. Public Schools,"BALTIMORE CONTRACTORS, INC",21061,5011346.72,,
2020,Anne Arundel Co. Public Schools,BALTIMORE COUNTY PUBLIC SCHOOL,21204,276934.36,,
2020,Anne Arundel Co. Public Schools,BALTIMORE DOOR & FRAME,21227,44298.0,,
2020,Anne Arundel Co. Public Schools,BALTIMORE GAS & ELECTRIC CO,19101-3070,5618917.93,,
2020,Anne Arundel Co. Public Schools,BARCO ENTERPRISES INC,21164-0074,479784.79,,
2020,Anne Arundel Co. Public Schools,BARNES & NOBLE,21401,48974.14,,
2020,Anne Arundel Co. Public Schools,BARON STAGE CURTAIN &,21224-1413,29771.75,,
2020,Anne Arundel Co. Public Schools,BAY ENGINEERING SERVICES,21012,27653.0,,
2020,Anne Arundel Co. Public Schools,BELL TECHLOGIX,23294,1567135.13,,
2020,Anne Arundel Co. Public Schools,BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN,21660,453579.03,,
2020,Anne Arundel Co. Public Schools,BENELOGIC LLC,21093,421521.65,,
2020,Anne Arundel Co. Public Schools,BEST BATTERY CO INC,21224,30170.5,,
2020,Anne Arundel Co. Public Schools,BEST FENCE,21061,402443.86,,
2020,Anne Arundel Co. Public Schools,BIGNELL WATKINS HASSER,21401,26198.25,,
2020,Anne Arundel Co. Public Schools,BIOTECH SOLUTIONS,19317-0211,89592.35,,
2020,Anne Arundel Co. Public Schools,BLACKBOARD COLLABORATE INC,20001-3796,133186.62,,
2020,Anne Arundel Co. Public Schools,BLACKBOARD INC,46240,174619.95,,
2020,Anne Arundel Co. Public Schools,BMC Services,21227,162089.01,,
2020,Anne Arundel Co. Public Schools,"BMI Benefits, LLC DBA BOB MCCLOSKEY INSURANCE",07747,25775.4,,
2020,Anne Arundel Co. Public Schools,BOB ANDREWS CONSTRUCTION INC,21220,42622.94,,
2020,Anne Arundel Co. Public Schools,BOWINGS & HUBER LLC DBA: BOMARK ELECTRIC,21074,3016436.15,,
2020,Anne Arundel Co. Public Schools,BRAINPOP LLC,10010,50569.0,,
2020,Anne Arundel Co. Public Schools,BROOKS TRANSPORTATION,21122,1609426.19,,
2020,Anne Arundel Co. Public Schools,BSN Sports Inc,75209,199649.76,,
2020,Anne Arundel Co. Public Schools,BSN Sports Inc DBA US GAMES INC,19046,74084.38,,
2020,Anne Arundel Co. Public Schools,Ballet Theatre of Maryland,21401,27675.0,,
2020,Anne Arundel Co. Public Schools,Baltimore Lab School Inc,21218,574476.3,,
2020,Anne Arundel Co. Public Schools,Bare It All Screen Printing and Embroidery LLC,21108,26664.0,,
2020,Anne Arundel Co. Public Schools,Beacon Sales Acquisition DBA THE ROOF CENTER,21401,35928.68,,
2020,Anne Arundel Co. Public Schools,Belt's Corporation,21075,25310.74,,
2020,Anne Arundel Co. Public Schools,"Boston Aircontrols, Inc",01803,68180.85,,
2020,Anne Arundel Co. Public Schools,"Bowen & Kron Enterprises, Inc.",21220,422263.79,,
2020,Anne Arundel Co. Public Schools,"Brawner Builders, Inc.",21031,5187889.0,,
2020,Anne Arundel Co. Public Schools,Brown & Root Industrial Services LLC,22202,1876516.67,,
2020,Anne Arundel Co. Public Schools,Building Energy Holding US LLC,20005,319521.45,,
2020,Anne Arundel Co. Public Schools,C. MUHL BUS SERVICE INC,21123,39962.04,,
2020,Anne Arundel Co. Public Schools,"CAN-AM CONTRACTORS, INC.",20705,1194816.31,,
2020,Anne Arundel Co. Public Schools,CANYON CONTRACTING INC.,21771-7784,595727.91,,
2020,Anne Arundel Co. Public Schools,CAPITAL AREA SOCCER REFEREES,20012,60531.0,,
2020,Anne Arundel Co. Public Schools,CAREFIRST BLUE CROSS,21117,204008627.95,,
2020,Anne Arundel Co. Public Schools,CATAPULT LEARNING DBA Specialized Ed of Md. Inc,08103,2542852.06,,
2020,Anne Arundel Co. Public Schools,CATON COMMUNICATIONS GROUP INC,21229-5409,27707.5,,
2020,Anne Arundel Co. Public Schools,CBRE Heery Inc,20785,1991549.5,,
2020,Anne Arundel Co. Public Schools,CDI COMPUTER DEALERS INC,21224,180473.0,,
2020,Anne Arundel Co. Public Schools,CDW LLC DBA CDW Government LLC,06484,2907812.35,,
2020,Anne Arundel Co. Public Schools,CENTRAL MD DISTRICT 23 BASKETBALL OFFICIALS INC,21047,46070.0,,
2020,Anne Arundel Co. Public Schools,CENTRAL POLY - BAG CORPORATION,07036,36030.0,,
2020,Anne Arundel Co. Public Schools,CGC Holdings Inc dba Capital Seaboard,20794,1590365.31,,
2020,Anne Arundel Co. Public Schools,CGI Technologies and Solutions Inc,12211,1494458.51,,
2020,Anne Arundel Co. Public Schools,CHAMPION OFFICIALS GROUP,21404-2289,46593.0,,
2020,Anne Arundel Co. Public Schools,CHELSEA SCHOOL,20782,35354.29,,
2020,Anne Arundel Co. Public Schools,CHESAPEAKE CHARTER INC,21409,2939136.89,,
2020,Anne Arundel Co. Public Schools,CHESAPEAKE SCIENCE POINT,21076,2550717.89,,
2020,Anne Arundel Co. Public Schools,CHILDREN'S GUILD INC,21234,1436025.32,,
2020,Anne Arundel Co. Public Schools,CHIMES INC,21215,574461.7,,
2020,Anne Arundel Co. Public Schools,CIGNA,21046,1021278.8,,
2020,Anne Arundel Co. Public Schools,CITIROOF CORPORATION,21046-1577,1930264.15,,
2020,Anne Arundel Co. Public Schools,CITY OF ANNAPOLIS,21401,149357.19,,
2020,Anne Arundel Co. Public Schools,CLEAN HARBORS OF BALT INC,02241,50938.38,,
2020,Anne Arundel Co. Public Schools,CLIFTONLARSONALLEN LLP,21093,97000.0,,
2020,Anne Arundel Co. Public Schools,CLOVERLAND DAIRY LP,21218,1792190.61,,
2020,Anne Arundel Co. Public Schools,CLYDE MCHENRY INC,20781,93633.87,,
2020,Anne Arundel Co. Public Schools,CMG Flooring,19475,29611.1,,
2020,Anne Arundel Co. Public Schools,CN ROBINSON LIGHTING SUPPLY,21227,280069.06,,
2020,Anne Arundel Co. Public Schools,COLE ROOFING CO INC,21229,1697046.59,,
2020,Anne Arundel Co. Public Schools,COLLEGE BOARD,10281,936554.0,,
2020,Anne Arundel Co. Public Schools,COMMITTEE FOR CHILDREN,98121,587110.0,,
2020,Anne Arundel Co. Public Schools,"COMPLETE BUILDING SYSTEMS, INC.",21114,222145.56,,
2020,Anne Arundel Co. Public Schools,COMPTROLLER OF MARYLAND,21401,45401197.1,,
2020,Anne Arundel Co. Public Schools,CONCENTRA MEDICAL CENTERS INC,21227-0277,57519.0,,
2020,Anne Arundel Co. Public Schools,CONNECTIONS EDUCATION LLC,21202,31875.0,,
2020,Anne Arundel Co. Public Schools,CONSOLIDATED MANUFACTURING,21123-0364,49993.5,,
2020,Anne Arundel Co. Public Schools,CONTROLLER-ANNE ARUNDEL COUNTY,21401,118803.92,,
2020,Anne Arundel Co. Public Schools,"CORBETT TECHNOLOGY SOLUTIONS, INC.",21209,36048.68,,
2020,Anne Arundel Co. Public Schools,COSSENTINO CONTRACTING CO,21237,924869.57,,
2020,Anne Arundel Co. Public Schools,COUGHLAN COMPANIES LLC DBA Capstone,56003,144849.19,,
2020,Anne Arundel Co. Public Schools,COUNTY THERAPY ASSOCIATES LLC,21160,181687.5,,
2020,Anne Arundel Co. Public Schools,CRAFTMASTER HARDWARE LLC DBA TAYLOR SECURITY & LOCK,20877-4186,26387.44,,
2020,Anne Arundel Co. Public Schools,CREST GOOD MANUFACTURING,11791,120656.07,,
2020,Anne Arundel Co. Public Schools,CRISIS PREVENTION INSTITUTE,53224,50363.25,,
2020,Anne Arundel Co. Public Schools,CROFTON CHARTERS INC .,21054,2737957.06,,
2020,Anne Arundel Co. Public Schools,CT ELECTRICAL CORP,21035,4183010.92,,
2020,Anne Arundel Co. Public Schools,"Cain Contracting, Inc.",21202,185449.0,,
2020,Anne Arundel Co. Public Schools,Canon Financial Services Inc,08054,133296.36,,
2020,Anne Arundel Co. Public Schools,Capital Enterprises LLC,21227,46144.7,,
2020,Anne Arundel Co. Public Schools,Capitol Document Solutions,20852,73022.07,,
2020,Anne Arundel Co. Public Schools,"Carney, Kelehan, Bresler, Bennett & Scherr LLP",21401,385502.08,,
2020,Anne Arundel Co. Public Schools,Center for Family Based Training LLC,19004,28550.0,,
2020,Anne Arundel Co. Public Schools,Center for Lifelong Learning,07869,123750.0,,
2020,Anne Arundel Co. Public Schools,"ClassLink, Inc.",07011,189500.0,,
2020,Anne Arundel Co. Public Schools,Colimore Architects Inc,21230,38219.2,,
2020,Anne Arundel Co. Public Schools,Comcast Business Communications,21236,501797.28,,
2020,Anne Arundel Co. Public Schools,Communications Express LLC,22151,149935.0,,
2020,Anne Arundel Co. Public Schools,Community Products Inc DBA Rifton Equip,12471,126114.75,,
2020,Anne Arundel Co. Public Schools,"CompuClaim, Inc.",02840,77500.0,,
2020,Anne Arundel Co. Public Schools,Constellation NewEnergy-Gas,60132-2059,767151.87,,
2020,Anne Arundel Co. Public Schools,Corporate Mailing Services,21227-1509,130680.6,,
2020,Anne Arundel Co. Public Schools,Corporate Translation Services,98684,39664.31,,
2020,Anne Arundel Co. Public Schools,Criswell Performance Cars Inc,20878,152820.0,,
2020,Anne Arundel Co. Public Schools,"DADE PAPER AND BAG COMPANY, INC.",20794,230092.79,,
2020,Anne Arundel Co. Public Schools,DAKTRONICS INC,57006-5128,360407.49,,
2020,Anne Arundel Co. Public Schools,DALY COMPUTERS INC,21703,1083389.38,,
2020,Anne Arundel Co. Public Schools,DANCE BROTHERS INC,21090,46039.81,,
2020,Anne Arundel Co. Public Schools,"DATA NETWORKS, INC",21031,40810.0,,
2020,Anne Arundel Co. Public Schools,DC TREASURER,20044,89305.68,,
2020,Anne Arundel Co. Public Schools,DEERE & COMPANY,27513,131401.52,,
2020,Anne Arundel Co. Public Schools,DEMCO INC,53707-8048,34183.44,,
2020,Anne Arundel Co. Public Schools,DENVER-ELEK INC,21221,470963.72,,
2020,Anne Arundel Co. Public Schools,DEPARTMENT OF JUVENILE JUSTICE,21403,274592.66,,
2020,Anne Arundel Co. Public Schools,"DIAMOND INTERIOR DESIGNS, LLC",21114,44948.88,,
2020,Anne Arundel Co. Public Schools,DISCOVERY BENEFITS,58103,140035.8,,
2020,Anne Arundel Co. Public Schools,DISCOVERY EDUCATION,20910,264280.0,,
2020,Anne Arundel Co. Public Schools,DISYS,20147,9525219.01,,
2020,Anne Arundel Co. Public Schools,DIVERSIFIED EDUCATIONAL SYSTEMS (DES),20118,432090.21,,
2020,Anne Arundel Co. Public Schools,DONALD B RICE TIRE CO INC,21701,127881.54,,
2020,Anne Arundel Co. Public Schools,DORI FOOD INC,23230,6485978.84,,
2020,Anne Arundel Co. Public Schools,DOURON INC,21117,2769372.38,,
2020,Anne Arundel Co. Public Schools,DREAMBOX LEARNING,98004,141835.0,,
2020,Anne Arundel Co. Public Schools,Daikin Applied,55441,53677.0,,
2020,Anne Arundel Co. Public Schools,"Dance Theatre of Harlem, Inc.",10031,52210.06,,
2020,Anne Arundel Co. Public Schools,Delta T Group Maryland Inc,19010,307597.77,,
2020,Anne Arundel Co. Public Schools,Digital Information Services,20854,249413.09,,
2020,Anne Arundel Co. Public Schools,Dollamur LP DBA Dollamur Sport Surfaces,76102,49750.0,,
2020,Anne Arundel Co. Public Schools,Dr. Fran Prolman,22101-4120,47868.0,,
2020,Anne Arundel Co. Public Schools,Dude Solutions Inc,27518,67090.22,,
2020,Anne Arundel Co. Public Schools,E PIKOUNIS CONSTRUCTION CO INC,21231,190214.28,,
2020,Anne Arundel Co. Public Schools,E-RATE ELITE SERVICES INC,21117,74150.0,,
2020,Anne Arundel Co. Public Schools,EASTERN SALES AND ENGINEERING,21209,159418.6,,
2020,Anne Arundel Co. Public Schools,EASTWOOD PAINTING & CONTRACT,21811,34650.0,,
2020,Anne Arundel Co. Public Schools,EBL ENGINEERS LLC,21234-5701,84866.8,,
2020,Anne Arundel Co. Public Schools,EBSCO Industries Inc DBA EBSCO Publishing,01938,63748.0,,
2020,Anne Arundel Co. Public Schools,EDUCATORS FINANCIAL GROUP,21044,239259.67,,
2020,Anne Arundel Co. Public Schools,ELECTRICAL AUTOMATION SERVICES,21122,6772315.0,,
2020,Anne Arundel Co. Public Schools,ELECTRONIC FUNDS TRANSF PROG,80217-3788,168222917.14,,
2020,Anne Arundel Co. Public Schools,EMH ENVIRONMENTAL INC,21738,365983.0,,
2020,Anne Arundel Co. Public Schools,EMPLOYEE PLANS SERVICES INC,20910,1598908.71,,
2020,Anne Arundel Co. Public Schools,ENCYCLOPAEDIA BRITANNICA INC,60604,36900.0,,
2020,Anne Arundel Co. Public Schools,ENGINEERED CONSTRUCTION PRODUCT,21703,152693.02,,
2020,Anne Arundel Co. Public Schools,ENTERPRISE ELECTRIC,21213,6192035.4,,
2020,Anne Arundel Co. Public Schools,"ENVISION TECHNOLOGY, INC",20814,58456.0,,
2020,Anne Arundel Co. Public Schools,"EXPLORELEARNING, INC.",22902,146750.0,,
2020,Anne Arundel Co. Public Schools,"East Coast Welding and Construction Co., Inc.",21061-3225,507607.25,,
2020,Anne Arundel Co. Public Schools,EdClub Inc,20006,43758.0,,
2020,Anne Arundel Co. Public Schools,Elmco Inc DBA INTERSTATE BATTERY SYSTEM OF,21060,32720.28,,
2020,Anne Arundel Co. Public Schools,Ernest Corry III DBA SOURCE MAINTENANCE PRODUCTS,20754,319563.79,,
2020,Anne Arundel Co. Public Schools,EwingCole Inc,21230,526541.52,,
2020,Anne Arundel Co. Public Schools,FACTS ON FILE Inc,21014-2550,44341.38,,
2020,Anne Arundel Co. Public Schools,FASTSIGNS,21061,47015.8,,
2020,Anne Arundel Co. Public Schools,FAY'S BUS SERVICE INC,21122,950611.69,,
2020,Anne Arundel Co. Public Schools,FERGUSON ENTERPRISES LLC,21205,128706.92,,
2020,Anne Arundel Co. Public Schools,FLORIDA VIRTUAL SCHOOL,32835,33400.0,,
2020,Anne Arundel Co. Public Schools,FOLLETT SCHOOL SOLUTIONS INC,60050-7048,108360.6,,
2020,Anne Arundel Co. Public Schools,"FPC Holdings, Inc. DBA FPC Distribution",21075,884884.22,,
2020,Anne Arundel Co. Public Schools,FROEHLING & ROBERTSON INC,20794,116492.23,,
2020,Anne Arundel Co. Public Schools,FUN AND FUNCTION,19066,90602.96,,
2020,Anne Arundel Co. Public Schools,First Student Inc,21144,56512.5,,
2020,Anne Arundel Co. Public Schools,Foreman Building Commissioning LP,16063,67700.0,,
2020,Anne Arundel Co. Public Schools,"Fresh Air Concepts, LLC",21090,334804.32,,
2020,Anne Arundel Co. Public Schools,"G H Nitzel, Inc.",21162,485374.97,,
2020,Anne Arundel Co. Public Schools,"GALE ASSOCIATES, INC.",21204,288246.88,,
2020,Anne Arundel Co. Public Schools,GALE GROUP (THE),48331,72384.54,,
2020,Anne Arundel Co. Public Schools,GALLUP ORGANIZATION (THE),68102,86755.0,,
2020,Anne Arundel Co. Public Schools,GANNETT FLEMING INC,21244,195429.1,,
2020,Anne Arundel Co. Public Schools,GARY L AISQUITH,21140,824474.25,,
2020,Anne Arundel Co. Public Schools,GAUDREAU INC,21230,111003.92,,
2020,Anne Arundel Co. Public Schools,GB Marketing Inc DBA FRANKLIN TOYS,21146,153855.17,,
2020,Anne Arundel Co. Public Schools,GE TIGNALL,21030,836992.93,,
2020,Anne Arundel Co. Public Schools,GEM-CAP Inc. DBA Hayes Software Systems,78759,187325.0,,
2020,Anne Arundel Co. Public Schools,GEORGE MOEHRLE MASONRY INC,21703-7849,4083567.53,,
2020,Anne Arundel Co. Public Schools,GIBSON CONSULTING GROUP,78746,165284.0,,
2020,Anne Arundel Co. Public Schools,GL GROUP INC,63110,567789.14,,
2020,Anne Arundel Co. Public Schools,GLOBAL KNOWLEDGE,27511,67465.75,,
2020,Anne Arundel Co. Public Schools,GOUCHER COLLEGE,21204,327758.0,,
2020,Anne Arundel Co. Public Schools,GRAINGER,20701-1125,283554.06,,
2020,Anne Arundel Co. Public Schools,"GRANDSTAND DESIGN ENTERPRISES, INC.",21401,340084.8,,
2020,Anne Arundel Co. Public Schools,GRAYBAR ELECTRIC CO INC,30384,114649.89,,
2020,Anne Arundel Co. Public Schools,GRIEVES WORRALL WRIGHT &,21211,3175589.27,,
2020,Anne Arundel Co. Public Schools,GRIMM AND PARKER PC,20705,1404721.26,,
2020,Anne Arundel Co. Public Schools,GWWO,21211,589481.45,,
2020,Anne Arundel Co. Public Schools,Game Time,28224,1640850.96,,
2020,Anne Arundel Co. Public Schools,"Glass Industries, LLC",21208,80342.77,,
2020,Anne Arundel Co. Public Schools,"Goode Companies, Inc.",20770,265208.16,,
2020,Anne Arundel Co. Public Schools,"Gradient Construction, LLC",20732,1198785.38,,
2020,Anne Arundel Co. Public Schools,"Great Minds DBA Great Minds, LLC",20003,43490.15,,
2020,Anne Arundel Co. Public Schools,Green Site LLC,21075,286615.0,,
2020,Anne Arundel Co. Public Schools,Greenlink Incorporated,20872,119680.0,,
2020,Anne Arundel Co. Public Schools,Greenwood Publishing DBA Heinemann,03802-6926,140889.25,,
2020,Anne Arundel Co. Public Schools,"Guitar Center, Inc DBA MUSIC & ARTS CENTER",21703-8517,465616.74,,
2020,Anne Arundel Co. Public Schools,H & H CONTRACTORS INC,21227,33844.31,,
2020,Anne Arundel Co. Public Schools,HAJOCA CORP,21227,122741.25,,
2020,Anne Arundel Co. Public Schools,HARBOUR SCHOOL,21409,3546064.84,,
2020,Anne Arundel Co. Public Schools,HAVTECH CORPORATION,21046,89266.5,,
2020,Anne Arundel Co. Public Schools,HB Software Solutions,01851,42966.0,,
2020,Anne Arundel Co. Public Schools,HCGI HARTFORD,21044,569484.96,,
2020,Anne Arundel Co. Public Schools,HEER BROTHERS INC,21226,25411.78,,
2020,Anne Arundel Co. Public Schools,HERSHEY'S ICE CREAM,21075,173281.18,,
2020,Anne Arundel Co. Public Schools,HERTRICH FLEET SERVICES INC,19963,393027.0,,
2020,Anne Arundel Co. Public Schools,HILLIS-CARNES ENGINEERING,20701,167449.0,,
2020,Anne Arundel Co. Public Schools,HOME DEPOT,30339,318825.9,,
2020,Anne Arundel Co. Public Schools,HOMEWOOD GENERAL CONTRACTORS,21030,1132992.33,,
2020,Anne Arundel Co. Public Schools,HONEYWELL INC,20171,213661.37,,
2020,Anne Arundel Co. Public Schools,HORACE MANN INSURANCE CO,62715,510972.52,,
2020,Anne Arundel Co. Public Schools,HORD COPLAN MACHT,21202,1467698.5,,
2020,Anne Arundel Co. Public Schools,HOWARD COUNTY PUBLIC SCHOOLS,21042,29268.0,,
2020,Anne Arundel Co. Public Schools,HP ELECTRONICS INC,21227-2934,59005.17,,
2020,Anne Arundel Co. Public Schools,HP FINANCIAL SERVICES CORP.,07922,9217361.1,,
2020,Anne Arundel Co. Public Schools,HUBERS II INC,21061,2077271.98,,
2020,Anne Arundel Co. Public Schools,HUMAN RELATIONS MEDIA CENTER INC,10549,37639.18,,
2020,Anne Arundel Co. Public Schools,HUMANIM,21264-4275,25299.36,,
2020,Anne Arundel Co. Public Schools,HUNT CONSULTING,20723,77159.38,,
2020,Anne Arundel Co. Public Schools,HomeRite of Baltimore LLC,21244,71477.0,,
2020,Anne Arundel Co. Public Schools,Hoonuit I llc,54911,76512.81,,
2020,Anne Arundel Co. Public Schools,"Horizon Software International, LLC",31193-4248,45895.02,,
2020,Anne Arundel Co. Public Schools,Houghton Mifflin/Harcourt,32819,1015053.48,,
2020,Anne Arundel Co. Public Schools,Human Development Corp DBA SUMMIT SCHOOL,21037,80844.68,,
2020,Anne Arundel Co. Public Schools,Huntington & Hopkins Inc,21031,37389.44,,
2020,Anne Arundel Co. Public Schools,IMAGE ASPHALT MAINTENANCE INC,21122,870373.36,,
2020,Anne Arundel Co. Public Schools,IMAGINE LEARNING,84604,53120.0,,
2020,Anne Arundel Co. Public Schools,INDEPENDENT HARDWARE INC,19106,2743880.62,,
2020,Anne Arundel Co. Public Schools,INTERIOR SPECIALISTS INC,21162,86129.3,,
2020,Anne Arundel Co. Public Schools,INTERLINE BRANDS INC,32207,69116.83,,
2020,Anne Arundel Co. Public Schools,INTERNATIONAL BACCALAUREATE,10115,344596.0,,
2020,Anne Arundel Co. Public Schools,"Independent Taxi Association, Inc.  The",21215,39882.0,,
2020,Anne Arundel Co. Public Schools,Industrial Door Contractors Inc,21227,36019.0,,
2020,Anne Arundel Co. Public Schools,Inquiries Acquisition LLC,21601,227802.15,,
2020,Anne Arundel Co. Public Schools,Ironmark Inc,20701,26365.3,,
2020,Anne Arundel Co. Public Schools,J VINTON SCHAFER & SONS INC,21009,1864971.51,,
2020,Anne Arundel Co. Public Schools,J&K CONTRACTING,20772,1043887.56,,
2020,Anne Arundel Co. Public Schools,"J.A. ARGETAKIS CONTRACTING CO., INC.",21224,582850.83,,
2020,Anne Arundel Co. Public Schools,J.T.M. PROVISIONS CO.,45030,267291.5,,
2020,Anne Arundel Co. Public Schools,JACOBS PROJECT MANAGEMENT CO,22201,3162751.66,,
2020,Anne Arundel Co. Public Schools,JAMES POSEY ASSOCIATES INC,21117,1509022.25,,
2020,Anne Arundel Co. Public Schools,JAMES W ANCEL INC,21204,3271641.42,,
2020,Anne Arundel Co. Public Schools,"JB Contracting, Inc.",20705,407643.14,,
2020,Anne Arundel Co. Public Schools,JNA PAINTING CO INC,21224,194700.0,,
2020,Anne Arundel Co. Public Schools,JOHNSON CONTROLS INC,21152,128606.92,,
2020,Anne Arundel Co. Public Schools,JOHNSON MIRMIRAN & THOMPSON,21030,229768.0,,
2020,Anne Arundel Co. Public Schools,JR Balsan Inc DBA Johnstone Supply,21401,58901.85,,
2020,Anne Arundel Co. Public Schools,JUBBS BUS SERVICE INC,21060,4671523.75,,
2020,Anne Arundel Co. Public Schools,James River Solutions LLC,23005,214946.98,,
2020,Anne Arundel Co. Public Schools,Jay Batterden,20776,42169.0,,
2020,Anne Arundel Co. Public Schools,KENNEDY KRIEGER INSTITUTE,21205,6544007.31,,
2020,Anne Arundel Co. Public Schools,KEY SYSTEMS INC,21162,1550974.92,,
2020,Anne Arundel Co. Public Schools,KINSLEY CONSTRUCTION INC,17405,184720.6,,
2020,Anne Arundel Co. Public Schools,KONE INC,21090,296144.77,,
2020,Anne Arundel Co. Public Schools,"KaRon Masonry of Maryland, Inc.",20763,2864555.96,,
2020,Anne Arundel Co. Public Schools,Kenneth Collignon DBA C&J Contractors,20707,29072.93,,
2020,Anne Arundel Co. Public Schools,"Kim Engineering, Inc.",20705,59809.3,,
2020,Anne Arundel Co. Public Schools,Kinetic Data Inc,55101,54500.0,,
2020,Anne Arundel Co. Public Schools,King Professional Development Services Inc,20721,37487.5,,
2020,Anne Arundel Co. Public Schools,L & R ENTERPRISES Inc.,20781,1740341.64,,
2020,Anne Arundel Co. Public Schools,LAB SCHOOL OF WASHINGTON,20007,38662.04,,
2020,Anne Arundel Co. Public Schools,LANE'S BUS SERVICE INC,20776,1790500.69,,
2020,Anne Arundel Co. Public Schools,LANGE ELECTRIC CO INC,21230-2730,157211.23,,
2020,Anne Arundel Co. Public Schools,"LEN SEC, LLC",77042,5257982.05,,
2020,Anne Arundel Co. Public Schools,LEXIA LEARNING SYSTEMS,01742,25673.88,,
2020,Anne Arundel Co. Public Schools,LIBRARY CORPORATION (THE),25428-9733,172244.0,,
2020,Anne Arundel Co. Public Schools,LIGHTSPEED TECHNOLOGIES,97062,290027.0,,
2020,Anne Arundel Co. Public Schools,LINCOLN LIBRARY PRESS INC,44115,34882.0,,
2020,Anne Arundel Co. Public Schools,LINDEN COOKIES INC,10920,64219.29,,
2020,Anne Arundel Co. Public Schools,LINDENMEYR MUNROE,21113,42930.79,,
2020,Anne Arundel Co. Public Schools,LINDSAY FORD,20902,419800.0,,
